加え O O
て O O
、 O O
実質的 O O
な O O
下部 O O
リーグ O O
で O O
あっ O O
た O O
ジャパン B-ORG B-ORG
フットボール I-ORG I-ORG
リーグ I-ORG I-ORG
（ O O
旧 O O
JFL O O
） O O
は O O
「 O O
J O O
リーグ O O
参入 O O
を O O
希望 O O
する O O
クラブ O O
」 O O
「 O O
アマチュア O O
を O O
堅持 O O
する O O
クラブ O O
」 O O
が O O
混在 O O
する O O
状況 O O
で O O
あっ O O
た O O
。 O O

コンサドーレ B-ORG B-ORG
札幌 I-ORG I-ORG
は O O
この O O
年 O O
JFL O O
から O O
昇格 O O
し O O
た O O
ため O O
この O O
シーズン O O
の O O
順位 O O
ポイント O O
のみ O O
が O O
対象 O O
と O O
なっ O O
た O O
。 O O

15 O O
ジェフユナイテッド O B-ORG
市原 O I-ORG
5611 O I-ORG
入れ替え O O
戦 O O
出場 O O
16 O O
コンサドーレ O B-ORG
札幌 O I-ORG
1010 O O
入れ替え O O
戦 O O
出場 O O
17 O O
ヴィッセル B-ORG B-ORG
神戸 I-ORG I-ORG
246 O O
入れ替え O O
戦 O O
出場 O O
18 O O
アビスパ B-ORG O
福岡 I-ORG O
123 I-ORG O
入れ替え O O
戦 O O
出場 O O
1998 O O
年 O O
の O O
JFL O O
年間 O O
順位 O O
編集 O O
順位 O O
クラブ O O
名 O O
1 O O
東京ガス O O
2 O O
川崎 B-ORG B-ORG
フロンターレ I-ORG I-ORG
3 I-ORG O
モンテディオ O O
山形 O O
4 O O
ヴァン O B-ORG
フォーレ O I-ORG
甲府 O I-ORG
5 O O
本田技研 O O
6 O O
大分 O O
FC O O
7 O O
ブランメル O O
仙台 O O
関連 O O
する O O
部分 O O
のみ O O
。 O O

結果 O O
編集 O O
1 O O
回戦 O O
編集 O O
詳細 O O
は O O
「 O O
J O O
1 O O
参入 O O
決定 O O
戦 O O
1 O O
回戦 O O
」 O O
を O O
参照 O O
アビスパ B-ORG B-ORG
福岡 I-ORG I-ORG
（ O O
J O O
・ O O
18 O O
位 O O
） O O
v O O
川崎 B-ORG B-ORG
フロンターレ I-ORG I-ORG
（ O O
JFL O O
・ O O
2 O O
位 O O
） O O
1998 O O
年 O O
11 O O
月 O O
19 O O
日 O O
アビスパ O O
福岡 O O
（ O O
J O O
・ O O
18 O O
位 O O
） O O
32 O O
( O O
延長 O O
) O O
川崎 B-ORG B-ORG
フロンターレ I-ORG I-ORG
（ O O
JFL O O
・ O O
2 O O
位 O O
） O O
東平尾公園 O O
博多 O O
の O O
森 O O
球技場 O O
1905 O O
久藤 O O
清 O O
一24 O O
分 O O
に O O
ゴール O O
24 O O
分 O O
山下 O O
芳輝 O O
89 O O
分 O O
に O O
ゴール O O
89 O O
分 O O
フェルナンド O O
104 O O
分 O O
に O O
ゴールデン O O
ゴール O O
104 O O
分 O O
公式 O O
データ O O
伊藤 O O
彰 O O
17 O O
分 O O
に O O
ゴール O O
17 O O
分 O O
ツゥット O O
61 O O
分 O O
に O O
ゴール O O
61 O O
分 O O
観客 O O
数 O O
12535 O O
人 O O
主審 O O
