日本 B-LOC B-LOC
で O O
も O O
それ O O
まで O O
1998 B-DATE B-DATE
年 I-DATE I-DATE
より O O
毎年 O O
栃木県茂木町 O O
の O O
ツイン O O
リンク O O
もてぎ B-LOC O
で O O
開催 O O
さ O O
れ O O
て O O
き O O
た O O
CART B-ORG B-ORG
の O O
レース O O
を O O
2003 B-DATE B-DATE
年 I-DATE I-DATE
より O O
IRL O O
に O O
変更 O O
し O O
、 O O
インディ B-ORG B-ORG
ジャパン I-ORG I-ORG
300 O O
と O O
し O O
て O O
開催 O O
。 O O

実際 O O
に O O
は O O
旧 O O
チャンプカー O O
の O O
チーム O O
に O O
無償 O O
で O O
エンジン O O
・ O O
シャシー O O
等 O O
を O O
供給 O O
する O O
形 O O
と O O
なっ O O
た O O
ため O O
、 O O
事実上 O O
IRL O O
側 O O
が O O
チャンプカー B-ORG B-ORG
側 O O
を O O
吸収 O O
する O O
形 O O
と O O
なっ O O
た O O
。 O O

2014 B-DATE B-DATE
年 I-DATE I-DATE
から O O
2018 B-DATE B-DATE
年 I-DATE I-DATE
まで O O
は O O
ベライゾン O B-ORG
が O O
冠 O O
スポンサー O O
と O O
なり O O
、 O O
名称 O O
も O O
「 O O
ベライゾン B-PRODUCT B-PRODUCT
・ I-PRODUCT I-PRODUCT
インディカー I-PRODUCT I-PRODUCT
・ I-PRODUCT I-PRODUCT
シリーズ I-PRODUCT I-PRODUCT
」 O O
に O O
変更 O O
さ O O
れ O O
た O O
1 O O
。 O O

オーバル O O
で O O
は O O
スタッガー O O
に O O
よっ O O
て O O
旋回 O O
性能 O O
を O O
高め O O
て O O
いる O O
。 O O

シーズン O O
中 O O
に O O
エンジン O O
を O O
改良 O O
し O O
た O O
場合 O O
、 O O
それ O O
を O O
レース O O
に O O
導入 O O
する O O
に O O
は O O
他 O O
の O O
メーカー O O
の O O
同意 O O
を O O
得 O O
なけれ O O
ば O O
なら O O
ない O O
。 O O

セッション O O
は O O
以下 O O
の O O
3 O O
つ O O
の O O
ラウンド O O
に O O
分け O O
て O O
行わ O O
れ O O
、 O O
各 O O
ラウンド O O
の O O
制限時間 O O
中 O O
に O O
無制限 O O
に O O
計測 O O
を O O
行う O O
こと O O
が O O
出来る O O
。 O O

1 O O
位 O O
と O O
2 O O
位 O O
は O O
グループ O O
3 O O
の O O
7 O O
位 O O
と O O
9 O O
位 O O
に O O
それぞれ O O
加わる O O
。 O O

そして O O
より O O
速かっ O O
た O O
選手 O O
が O O
属する O O
グループ O O
に O O
奇数 O O
グリッド O O
、 O O
遅かっ O O
た O O
選手 O O
の O O
属する O O
グループ O O
に O O
偶数 O O
グリッド O O
が O O
与え O O
られる O O
。 O O

インディ O O
500 O O
詳細 O O
は O O
「 O O
インディ O B-PRODUCT
500 O I-PRODUCT
の O O
予選 O O
方式 O O
」 O O
を O O
参照 O O
インディ O O
500 O O
の O O
予選 O O
は O O
、 O O
決勝 O O
レース O O
1 O B-DATE
週間 O I-DATE
前 O I-DATE
の O O
土曜日 O B-DATE
と O O
日曜日 O B-DATE
に O O
行わ O O
れる O O
。 O O

決勝 O O
編集 O O
スタート O O
一部 O O
の O O
レース O O
( O O
ダブル O O
ヘッダー O O
戦 O O
レース O O
2 O O
など O O
) O O
で O O
は O O
スタンディング O O
スタート O O
、 O O
それ O O
以外 O O
で O O
は O O
ローリングスタート O O
を O O
採用 O O
し O O
て O O
いる O O
。 O O

また O O
2010 B-DATE B-DATE
年 I-DATE I-DATE
から O O
は O O
ブラジル B-LOC B-LOC
が O O
カレンダー O O
に O O
組み込ま O O
れ O O
て O O
いる O O
。 O O

GAORASPORTS O B-ORG
で O O
は O O
生放送 O O
を O O
中心 O O
に O O
放送 O O
し O O
て O O
いる O O
。 O O

インディカー O O
、 O O
2018 B-DATE B-DATE
年 I-DATE I-DATE
投入 O O
の O O
ユニバーサル B-ORG B-ORG
エアロ I-ORG I-ORG
キット I-ORG I-ORG
実車 O O
を O O
お O O
披露目 O O
オート O O
スポーツ O O
・ O O
2017 B-DATE B-DATE
年 I-DATE I-DATE
7 I-DATE I-DATE
月 I-DATE I-DATE
25 I-DATE I-DATE
日 I-DATE I-DATE
Twinturbochargedenginesmandatedfor O O
14 O O
IndyCarcom O O
・ O O
2013 B-DATE B-DATE
年 I-DATE I-DATE
7 I-DATE I-DATE
月 I-DATE I-DATE
26 I-DATE I-DATE
日 I-DATE I-DATE
ホンダ B-ORG B-ORG
、 O O
IRL O O
に O O
エンジン O O
供給 O O
継続 O O
2012 B-DATE B-DATE
年 I-DATE I-DATE
新 O O
スペック O O
responsejp O O
・ O O
2010 B-DATE B-DATE
年 I-DATE I-DATE
8 I-DATE I-DATE
月 I-DATE I-DATE
8 I-DATE I-DATE
日 I-DATE I-DATE
ChevroletannouncementWhattheyresayingIndyCarcom O O
・ O O
2010 B-DATE B-DATE
年 I-DATE I-DATE
11 I-DATE I-DATE
月 I-DATE I-DATE
12 I-DATE I-DATE
日 I-DATE I-DATE
インディカーニュース O O
2 B-DATE B-DATE
月 I-DATE I-DATE
23 I-DATE I-DATE
日 I-DATE I-DATE
GAORA B-ORG O
・ O O
2012 B-DATE B-DATE
年 I-DATE I-DATE
2 I-DATE I-DATE
月 I-DATE I-DATE
23 I-DATE I-DATE
日 I-DATE I-DATE
ManufacturercompetitionbloomswithLotusIndyCarcom O O
・ O O
2010 B-DATE B-DATE
年 I-DATE I-DATE
11 I-DATE I-DATE
月 I-DATE I-DATE
18 I-DATE I-DATE
日 I-DATE I-DATE
ロータス O O
、 O O
インディカー B-ORG B-ORG
の O O
エンジン O O
供給 O O
撤退 O O
を O O
発表 O O
オート O O
スポーツ O O
・ O O
2012 B-DATE B-DATE
年 I-DATE I-DATE
12 I-DATE I-DATE
月 I-DATE I-DATE
8 I-DATE I-DATE
日 I-DATE I-DATE
二人 O O
の O O
ポイント O O
が O O
並ん O O
だ O O
が O O
、 O O
成績 O O
比較 O O
は O O
せ O O
ず O O
、 O O
2人 O O
が O O
チャンピオン O O
と O O
さ O O
れ O O
た O O
ダン B-PERSON B-PERSON
・ I-PERSON I-PERSON
ウェルドン I-PERSON I-PERSON
と O O
ポイント O O
が O O
並ん O O
だ O O
が O O
、 O O
成績 O O
比較 O O
で O O
ホーニッシュ O B-ORG
Jr O O
が O O
チャンピオン O O
2008 B-DATE B-DATE
年 I-DATE I-DATE
の O O
公式 O O
発表 O O
は O O
なかっ O O
た O O
が O O
、 O O
2009 B-DATE B-DATE
年 I-DATE I-DATE
に O O
受賞 O O
し O O
た O O
際 O O
公式 O O
ホームページ O O
にて O O
5 B-DATE O
年 I-DATE O
連続 O O
の O O
受賞 O O
と O O
さ O O
れ O O
た O O
こと O O
から O O
、 O O
2008 B-DATE B-DATE
年 I-DATE I-DATE
も O O
受賞 O O
し O O
て O O
い O O
た O O
こと O O
が O O
分かっ O O
た O O
。 O O

2019 B-DATE B-DATE
シーズン I-DATE I-DATE
から O O
全戦 O O
を O O
NBC O O
が O O
放送 O O
こちら O O
GAORAINDYCAR O O
実況 O O
室 O O
GAORA O O
( O O
2018 B-DATE B-DATE
年 I-DATE I-DATE
3 I-DATE I-DATE
月 I-DATE I-DATE
21 I-DATE I-DATE
日 I-DATE I-DATE
) O O
2018 B-DATE B-DATE
年 I-DATE I-DATE
5 I-DATE I-DATE
月 I-DATE I-DATE
30 I-DATE I-DATE
日 I-DATE I-DATE
閲覧 O O
。 O O

執筆 O O
の O O
途中 O O
です O O
この O O
項目 O O
は O O
、 O O
政治 O O
に O O
関連 O O
し O O
た O O
書きかけ O O
の O O
項目 O O
です O O
。 O O

当時 O O
、 O O
日本 B-LOC B-LOC
は O O
アメリカ軍 O O
を O O
主 O O
と O O
する O O
連合国軍 O O
の O O
占領 O O
下 O O
に O O
あり O O
、 O O
台風 O O
の O O
英名 O O
に O O
つい O O
て O O
も O O
1947 B-DATE B-DATE
年 I-DATE I-DATE
（ O O
昭和 B-DATE B-DATE
22 I-DATE I-DATE
年 I-DATE I-DATE
） O O
から O O
1953 B-DATE B-DATE
年 I-DATE I-DATE
（ O O
昭和 B-DATE B-DATE
28 I-DATE I-DATE
年 I-DATE I-DATE
） O O
5 B-DATE B-DATE
月 I-DATE I-DATE
まで O O
アメリカ合衆国 O O
と O O
同様 O O
に O O
、 O O
A O O
、 O O
B O O
、 O O
C O O
順 O O
に O O
女性 O O
の O O
名前 O O
が O O
付け O O
られ O O
て O O
い O O
た O O
（ O O
日本 B-LOC B-LOC
で O O
は O O
この O O
他 O O
に O O
キティ O O
台風 O O
、 O O
ジェーン B-PERSON B-PERSON
台風 O O
など O O
が O O
有名 O O
） O O
。 O O

19 B-DATE B-DATE
日 I-DATE I-DATE
午後 B-TIME B-TIME
3 I-TIME I-TIME
時 I-TIME I-TIME
ごろ O O
ようやく O O
爆破 O O
が O O
成功 O O
し O O
、 O O
「 O O
櫻 B-LOC B-PRODUCT
堤 I-LOC I-PRODUCT
」 O O
付近 O O
の O O
水 O O
は O O
江戸 B-LOC B-LOC
川 I-LOC I-LOC
へ O O
と O O
流れ O O
始め O O
た O O
が O O
、 O O
同じ O O
ころ O O
南埼玉郡 B-ORG B-LOC
八條 I-ORG I-LOC
村 I-ORG I-LOC
（ O O
現在 O O
の O O
八潮市 B-LOC B-LOC
） O O
で O O
中川 B-LOC B-LOC
の O O
右岸 O O
が O O
決壊 O O
、 O O
綾瀬 B-LOC B-LOC
川 I-LOC I-LOC
の O O
東側 O O
も O O
水没 O O
する O O
。 O O

更に O O
江戸 B-LOC B-LOC
川 I-LOC I-LOC
に O O
おい O O
て O O
も O O
改修 O O
計画 O O
の O O
一環 O O
と O O
し O O
て O O
行徳 O O
可動 O O
堰 O O
が O O
作ら O O
れる O O
こと O O
と O O
なっ O O
た O O
。 O O

ファイル O O
KazoKathleenParkMonument O O
1 O O
JPG O O
カスリーン O O
公園 O O
の O O
モニュメント O O
利根 B-LOC B-LOC
川 I-LOC I-LOC
に O O
おけ O O
る O O
大規模 O O
な O O
破 O O
提 O O
の O O
現場 O O
は O O
、 O O
現在 O O
は O O
カスリーン B-LOC B-LOC
公園 I-LOC I-LOC
（ O O
加須市 B-LOC B-LOC
） O O
と O O
し O O
て O O
整備 O O
さ O O
れ O O
て O O
いる O O
。 O O

その O O
他 O O
の O O
